order_id,order_date,order_month,customer_id,region,product_category,product_name,quantity,unit_price,total_amount,discount,final_amount
ORD_000067,2024-01-01,1,CUST_00623,South,Electronics,Smart Watch,5,461.83,2309.15,0.0,2309.15
ORD_000846,2024-01-01,1,CUST_01011,North,Clothing,Jacket,2,87.18,174.36,0.0,174.36
ORD_004597,2024-01-01,1,CUST_01135,East,Sports & Outdoors,Dumbbells,2,515.97,1031.94,0.0,1031.94
ORD_002920,2024-01-01,1,CUST_00170,East,Home & Garden,Table,2,201.43,402.86,0.0,402.86
ORD_003395,2024-01-01,1,CUST_00373,North,Books & Media,Video Game,3,64.84,194.52,0.0,194.52
ORD_001372,2024-01-01,1,CUST_00770,West,Electronics,Mouse,1,1220.61,1220.61,0.0,1220.61
ORD_003390,2024-01-01,1,CUST_00966,South,Books & Media,Magazine,2,76.57,153.14,12.86,140.28
ORD_003620,2024-01-01,1,CUST_00555,West,Sports & Outdoors,Golf Club,1,283.4,283.4,0.0,283.4
ORD_002263,2024-01-01,1,CUST_01034,North,Electronics,Laptop,2,1210.13,2420.26,0.0,2420.26
ORD_001391,2024-01-01,1,CUST_00637,East,Health & Beauty,Skincare Set,3,131.72,395.16,0.0,395.16
ORD_004037,2024-01-01,1,CUST_01115,East,Sports & Outdoors,Golf Club,1,620.07,620.07,116.21,503.86
ORD_002899,2024-01-01,1,CUST_00991,West,Sports & Outdoors,Running Shoes,4,611.11,2444.44,0.0,2444.44
ORD_000788,2024-01-01,1,CUST_00616,West,Home & Garden,Rug,1,189.65,189.65,0.0,189.65
ORD_002038,2024-01-01,1,CUST_00154,South,Home & Garden,Curtain,1,562.17,562.17,0.0,562.17
ORD_001179,2024-01-01,1,CUST_00503,South,Clothing,Skirt,1,106.77,106.77,11.3,95.47
ORD_003562,2024-01-01,1,CUST_00792,East,Electronics,Speaker,1,2095.94,2095.94,0.0,2095.94
ORD_003362,2024-01-01,1,CUST_01044,East,Electronics,Speaker,1,2037.29,2037.29,0.0,2037.29
ORD_004077,2024-01-01,1,CUST_00712,East,Health & Beauty,Shampoo,1,29.4,29.4,0.0,29.4
ORD_002412,2024-01-01,1,CUST_01087,East,Health & Beauty,Shampoo,1,22.2,22.2,0.0,22.2
ORD_002472,2024-01-01,1,CUST_00306,West,Electronics,Smartphone,3,750.22,2250.66,0.0,2250.66
ORD_001136,2024-01-01,1,CUST_00675,South,Electronics,Smartphone,3,1376.96,4130.88,0.0,4130.88
ORD_004899,2024-01-01,1,CUST_00833,North,Food & Beverages,Snack Box,2,105.61,211.22,0.0,211.22
ORD_004848,2024-01-01,1,CUST_01086,South,Sports & Outdoors,Backpack,1,222.67,222.67,0.0,222.67
ORD_001268,2024-01-01,1,CUST_00457,North,Electronics,Tablet,1,995.15,995.15,0.0,995.15
ORD_003870,2024-01-01,1,CUST_00196,South,Clothing,Sneakers,1,157.02,157.02,0.0,157.02
ORD_001615,2024-01-01,1,CUST_00946,North,Electronics,Smart Watch,3,367.5,1102.5,143.35,959.15
ORD_003611,2024-01-01,1,CUST_00919,East,Home & Garden,Storage Box,1,358.3,358.3,0.0,358.3
ORD_002457,2024-01-01,1,CUST_00431,North,Food & Beverages,Tea Set,2,124.47,248.94,0.0,248.94
ORD_004865,2024-01-01,1,CUST_00604,North,Home & Garden,Table,3,568.51,1705.53,0.0,1705.53
ORD_000408,2024-01-01,1,CUST_00440,North,Home & Garden,Rug,1,271.45,271.45,0.0,271.45
ORD_001023,2024-01-01,1,CUST_00316,East,Sports & Outdoors,Running Shoes,1,233.62,233.62,0.0,233.62
ORD_004468,2024-01-01,1,CUST_00837,West,Electronics,Camera,1,1045.93,1045.93,0.0,1045.93
ORD_003925,2024-01-01,1,CUST_00895,East,Food & Beverages,Olive Oil,2,26.39,52.78,0.0,52.78
ORD_001642,2024-01-01,1,CUST_00194,East,Home & Garden,Table,2,493.43,986.86,0.0,986.86
ORD_000198,2024-01-01,1,CUST_00419,East,Books & Media,Video Game,2,114.86,229.72,0.0,229.72
ORD_001819,2024-01-01,1,CUST_00550,East,Clothing,Jacket,1,280.32,280.32,0.0,280.32
ORD_002522,2024-01-01,1,CUST_00536,West,Home & Garden,Curtain,2,832.27,1664.54,0.0,1664.54
ORD_003937,2024-01-01,1,CUST_00859,East,Clothing,Boots,2,337.88,675.76,64.0,611.76
ORD_001674,2024-01-01,1,CUST_00948,West,Electronics,Keyboard,2,906.13,1812.26,316.21,1496.05
ORD_000332,2024-01-01,1,CUST_00447,West,Electronics,Mouse,2,198.94,397.88,0.0,397.88
ORD_003622,2024-01-01,1,CUST_00964,South,Sports & Outdoors,Fitness Tracker,1,210.35,210.35,0.0,210.35
ORD_003487,2024-01-01,1,CUST_00620,East,Home & Garden,Decor,1,414.49,414.49,0.0,414.49
ORD_003023,2024-01-01,1,CUST_00589,North,Clothing,Sweater,1,294.73,294.73,0.0,294.73
ORD_004734,2024-01-01,1,CUST_00521,East,Electronics,Camera,1,648.2,648.2,0.0,648.2
ORD_002791,2024-01-01,1,CUST_00700,South,Clothing,Dress,1,254.32,254.32,0.0,254.32
ORD_002016,2024-01-01,1,CUST_00638,North,Sports & Outdoors,Golf Club,1,350.59,350.59,0.0,350.59
ORD_003086,2024-01-01,1,CUST_01138,South,Sports & Outdoors,Fitness Tracker,2,507.41,1014.82,0.0,1014.82
ORD_003581,2024-01-01,1,CUST_00271,West,Books & Media,Video Game,1,28.35,28.35,0.0,28.35
ORD_004722,2024-01-01,1,CUST_00132,North,Home & Garden,Storage Box,4,368.5,1474.0,0.0,1474.0
ORD_001961,2024-01-01,1,CUST_00516,North,Clothing,Shorts,4,204.72,818.88,0.0,818.88
ORD_001662,2024-01-01,1,CUST_00103,South,Health & Beauty,Toothbrush,2,36.96,73.92,0.0,73.92
ORD_004309,2024-01-01,1,CUST_00370,North,Home & Garden,Storage Box,1,625.9,625.9,0.0,625.9
ORD_004989,2024-01-01,1,CUST_00177,East,Sports & Outdoors,Dumbbells,5,418.79,2093.95,0.0,2093.95
ORD_004246,2024-01-01,1,CUST_00776,North,Food & Beverages,Chocolate,1,113.18,113.18,0.0,113.18
ORD_000192,2024-01-01,1,CUST_00372,North,Home & Garden,Table,1,497.83,497.83,0.0,497.83
ORD_004640,2024-01-01,1,CUST_00635,North,Home & Garden,Curtain,1,408.66,408.66,0.0,408.66
ORD_003344,2024-01-01,1,CUST_00306,West,Electronics,Speaker,1,342.77,342.77,0.0,342.77
ORD_001447,2024-01-01,1,CUST_01165,North,Home & Garden,Tool Set,4,200.44,801.76,0.0,801.76
ORD_001327,2024-01-02,1,CUST_00691,South,Sports & Outdoors,Bicycle,4,360.65,1442.6,0.0,1442.6
ORD_001331,2024-01-02,1,CUST_00798,East,Books & Media,DVD,2,51.02,102.04,0.0,102.04
ORD_001951,2024-01-02,1,CUST_01074,North,Clothing,Jacket,2,242.13,484.26,69.71,414.55
ORD_003444,2024-01-02,1,CUST_00196,South,Food & Beverages,Olive Oil,2,29.53,59.06,0.0,59.06
ORD_003299,2024-01-02,1,CUST_00054,West,Food & Beverages,Juice,1,37.87,37.87,0.0,37.87
ORD_001824,2024-01-02,1,CUST_00608,South,Food & Beverages,Tea Set,1,62.07,62.07,0.0,62.07
ORD_003950,2024-01-02,1,CUST_00333,North,Food & Beverages,Olive Oil,1,31.44,31.44,0.0,31.44
ORD_003655,2024-01-02,1,CUST_00760,West,Health & Beauty,Skincare Set,1,36.51,36.51,0.0,36.51
ORD_000150,2024-01-02,1,CUST_00953,North,Clothing,Sneakers,3,213.27,639.81,0.0,639.81
ORD_003101,2024-01-02,1,CUST_00471,North,Electronics,Smartphone,2,499.84,999.68,0.0,999.68
ORD_001488,2024-01-02,1,CUST_00729,North,Health & Beauty,Shampoo,5,156.46,782.3,0.0,782.3
ORD_001620,2024-01-02,1,CUST_00285,East,Food & Beverages,Tea Set,1,183.81,183.81,0.0,183.81
ORD_000361,2024-01-02,1,CUST_00448,East,Sports & Outdoors,Fishing Rod,1,301.25,301.25,0.0,301.25
ORD_003834,2024-01-02,1,CUST_00996,North,Clothing,Blazer,2,40.47,80.94,12.2,68.74
ORD_003829,2024-01-02,1,CUST_00593,North,Electronics,Smartphone,1,1249.84,1249.84,0.0,1249.84
ORD_003499,2024-01-02,1,CUST_00186,East,Sports & Outdoors,Tent,1,524.94,524.94,0.0,524.94
ORD_001118,2024-01-02,1,CUST_00961,North,Sports & Outdoors,Tent,1,633.59,633.59,0.0,633.59
ORD_002943,2024-01-02,1,CUST_00311,South,Sports & Outdoors,Dumbbells,1,70.48,70.48,0.0,70.48
ORD_001498,2024-01-02,1,CUST_00218,East,Sports & Outdoors,Fishing Rod,1,498.85,498.85,0.0,498.85
ORD_001263,2024-01-02,1,CUST_01061,West,Clothing,Boots,4,197.45,789.8,0.0,789.8
ORD_004559,2024-01-02,1,CUST_00088,East,Home & Garden,Rug,1,153.4,153.4,0.0,153.4
ORD_003742,2024-01-02,1,CUST_01174,North,Electronics,Camera,2,1155.06,2310.12,0.0,2310.12
ORD_003510,2024-01-02,1,CUST_00031,East,Clothing,Boots,2,123.04,246.08,0.0,246.08
ORD_000920,2024-01-02,1,CUST_00229,West,Electronics,Mouse,2,417.55,835.1,0.0,835.1
ORD_000915,2024-01-02,1,CUST_00961,North,Sports & Outdoors,Golf Club,2,349.59,699.18,0.0,699.18
ORD_000351,2024-01-02,1,CUST_00434,North,Home & Garden,Rug,1,782.6,782.6,0.0,782.6
ORD_004479,2024-01-02,1,CUST_00795,North,Electronics,Smart Watch,1,517.61,517.61,0.0,517.61
ORD_000754,2024-01-02,1,CUST_01011,North,Electronics,Tablet,1,758.69,758.69,0.0,758.69
ORD_002824,2024-01-02,1,CUST_00560,East,Clothing,Skirt,1,64.15,64.15,0.0,64.15
ORD_002719,2024-01-02,1,CUST_01181,West,Health & Beauty,Fitness Supplement,2,191.96,383.92,0.0,383.92
ORD_003048,2024-01-02,1,CUST_00146,North,Electronics,Mouse,5,1912.97,9564.85,0.0,9564.85
ORD_001869,2024-01-02,1,CUST_00326,East,Health & Beauty,Perfume,2,111.63,223.26,0.0,223.26
ORD_004318,2024-01-02,1,CUST_00290,East,Electronics,Camera,1,1136.72,1136.72,0.0,1136.72
ORD_002877,2024-01-02,1,CUST_00620,East,Clothing,Jeans,1,178.97,178.97,0.0,178.97
ORD_003630,2024-01-02,1,CUST_00638,North,Food & Beverages,Spice Set,1,136.58,136.58,0.0,136.58
ORD_002761,2024-01-02,1,CUST_00138,East,Books & Media,Video Game,1,23.46,23.46,0.0,23.46
ORD_001859,2024-01-02,1,CUST_00446,West,Clothing,Sweater,1,165.09,165.09,0.0,165.09
ORD_003551,2024-01-02,1,CUST_00972,West,Books & Media,DVD,1,100.96,100.96,0.0,100.96
ORD_000551,2024-01-02,1,CUST_00459,North,Books & Media,Video Game,2,75.19,150.38,0.0,150.38
ORD_000534,2024-01-02,1,CUST_01071,South,Home & Garden,Tool Set,2,95.2,190.4,0.0,190.4
ORD_002544,2024-01-02,1,CUST_00022,North,Health & Beauty,Makeup Kit,1,49.45,49.45,0.0,49.45
ORD_001686,2024-01-02,1,CUST_01189,South,Home & Garden,Curtain,2,45.59,91.18,0.0,91.18
ORD_003338,2024-01-02,1,CUST_00141,West,Home & Garden,Planter,2,197.48,394.96,0.0,394.96
ORD_002817,2024-01-02,1,CUST_00872,North,Home & Garden,Table,4,698.38,2793.52,0.0,2793.52
ORD_004433,2024-01-02,1,CUST_00106,North,Electronics,Monitor,2,1418.26,2836.52,0.0,2836.52
ORD_002212,2024-01-02,1,CUST_00611,North,Health & Beauty,Toothbrush,3,51.5,154.5,22.65,131.85
ORD_000666,2024-01-02,1,CUST_00490,West,Sports & Outdoors,Kayak,3,461.91,1385.73,0.0,1385.73
ORD_004079,2024-01-02,1,CUST_00887,East,Health & Beauty,Hair Dryer,1,219.17,219.17,0.0,219.17
ORD_003251,2024-01-02,1,CUST_00653,East,Food & Beverages,Wine,3,26.28,78.84,0.0,78.84
ORD_000450,2024-01-02,1,CUST_00740,South,Books & Media,Audiobook,1,17.86,17.86,0.0,17.86
ORD_001586,2024-01-02,1,CUST_00314,West,Electronics,Smartphone,1,1329.57,1329.57,0.0,1329.57
ORD_003573,2024-01-02,1,CUST_01142,South,Food & Beverages,Coffee Beans,3,83.11,249.33,0.0,249.33
ORD_002871,2024-01-02,1,CUST_01082,North,Books & Media,DVD,3,62.64,187.92,0.0,187.92
ORD_001045,2024-01-02,1,CUST_01084,West,Health & Beauty,Shampoo,1,167.54,167.54,0.0,167.54
ORD_001273,2024-01-03,1,CUST_00361,South,Electronics,Smart Watch,1,1568.31,1568.31,0.0,1568.31
ORD_003760,2024-01-03,1,CUST_00861,East,Health & Beauty,Makeup Kit,1,62.47,62.47,0.0,62.47
ORD_002136,2024-01-03,1,CUST_00976,North,Sports & Outdoors,Kayak,1,416.39,416.39,0.0,416.39
ORD_000176,2024-01-03,1,CUST_00357,North,Food & Beverages,Olive Oil,2,14.53,29.06,0.0,29.06
ORD_002531,2024-01-03,1,CUST_00174,North,Electronics,Monitor,3,848.9,2546.7,0.0,2546.7
ORD_003771,2024-01-03,1,CUST_00981,South,Home & Garden,Tool Set,1,73.66,73.66,0.0,73.66
ORD_001080,2024-01-03,1,CUST_01058,South,Health & Beauty,Makeup Kit,2,107.1,214.2,0.0,214.2
ORD_001217,2024-01-03,1,CUST_00697,South,Home & Garden,Tool Set,1,138.22,138.22,0.0,138.22
ORD_001013,2024-01-03,1,CUST_00172,North,Electronics,Keyboard,3,1943.55,5830.65,0.0,5830.65
ORD_003814,2024-01-03,1,CUST_00193,West,Sports & Outdoors,Golf Club,1,560.56,560.56,0.0,560.56
ORD_002140,2024-01-03,1,CUST_00885,West,Books & Media,Video Game,1,19.46,19.46,0.0,19.46
ORD_002566,2024-01-03,1,CUST_00098,South,Electronics,Keyboard,2,739.08,1478.16,0.0,1478.16
ORD_002533,2024-01-03,1,CUST_00463,East,Health & Beauty,Vitamins,2,93.02,186.04,0.0,186.04
ORD_002555,2024-01-03,1,CUST_00692,South,Home & Garden,Rug,3,375.83,1127.49,0.0,1127.49
ORD_003541,2024-01-03,1,CUST_00829,East,Clothing,Skirt,5,266.1,1330.5,0.0,1330.5
ORD_003108,2024-01-03,1,CUST_00187,West,Home & Garden,Bedding,2,664.51,1329.02,0.0,1329.02
ORD_003703,2024-01-03,1,CUST_00890,North,Home & Garden,Bedding,1,674.08,674.08,0.0,674.08
ORD_001245,2024-01-03,1,CUST_01092,East,Electronics,Mouse,1,632.19,632.19,0.0,632.19
ORD_004649,2024-01-03,1,CUST_00460,North,Home & Garden,Table,2,412.03,824.06,0.0,824.06
ORD_004569,2024-01-03,1,CUST_00986,South,Clothing,Jacket,1,84.82,84.82,0.0,84.82
ORD_001224,2024-01-03,1,CUST_00552,West,Home & Garden,Decor,1,838.45,838.45,0.0,838.45
